Type q M1_total M1_core R1 a_i/R1 a_f Ref
AGB 0.25 0.97 0.545 173.0 1.2 17.0 (1)
AGB 0.5 0.97 0.545 173.0 1.36 34.0 (1)
AGB 0.75 0.97 0.545 173.0 1.49 55.0 (1)
AGB 0.25 0.97 0.545 173.0 1.2 22.0 (1)
AGB 0.5 0.97 0.545 173.0 1.36 41.0 (1)
AGB 0.75 0.97 0.545 173.0 1.49 69.0 (1)
AGB 0.25 0.97 0.545 173.0 1.2 21.0 (2)
AGB 0.5 0.97 0.545 173.0 1.36 37.8 (2)
AGB 0.75 0.97 0.545 173.0 1.49 54.2 (2)
AGB 0.35 1.7 0.56 250.0 2.2 32.7 (3)
AGB 0.35 1.7 0.56 250.0 2.2 25.9 (3)
AGB 0.35 1.7 0.56 250.0 2.2 20.6 (3)
AGB 0.35 1.7 0.56 250.0 2.2 25.8 (3)
AGB 0.01 0.77 0.47 173.0 0.77 12.4 (4)
AGB 0.1 0.77 0.47 173.0 0.95 10.4 (4)
AGB 0.1 0.77 0.47 173.0 0.95 11.6 (4)
AGB 0.06 0.77 0.47 173.0 0.89 7.5 (4)
AGB 0.04 0.77 0.47 173.0 0.85 14.2 (4)
AGB 0.55 1.78 0.53 122.2 1.01 15.5 (5)
AGB 0.35 1.7 0.56 260.0 2.12 21.0 (6)
AGB 0.35 1.7 0.56 260.0 2.12 23.0 (6)
AGB 0.35 1.7 0.56 260.0 2.12 26.0 (6)
AGB 0.35 1.7 0.56 260.0 2.12 32.0 (6)
AGB 0.35 1.7 0.56 260.0 2.12 33.0 (6)
AGB 0.35 1.7 0.56 260.0 2.12 40.0 (6)
AGB 0.16 3.7 0.72 330.0 1.93 8.2 (6)
AGB 0.16 3.7 0.72 330.0 1.93 7.9 (6)
AGB 0.16 3.7 0.72 330.0 1.93 9.4 (6)
AGB 0.16 3.7 0.72 330.0 1.93 9.9 (6)
AGB 0.16 3.7 0.72 330.0 1.93 12.0 (6)
AGB 0.16 3.7 0.72 330.0 1.93 10.0 (6)
AGB 0.35 1.7 0.56 260.0 2.12 42.0 (7)
AGB 0.16 3.7 0.72 330.0 1.93 11.0 (7)
RGB 0.5 2.0 0.37 52.0 1.0 5.0 (8)
RGB 0.5 1.96 0.37 48.1 1.02 7.0 (5)
RGB 0.5 1.96 0.366 48.1 1.02 3.4 (9)
RGB 0.5 1.96 0.366 48.1 1.02 3.5 (9)
RGB 0.75 0.88 0.39 81.0 1.23 12.5 (10)
RGB 0.75 0.88 0.39 88.0 1.13 14.5 (10)
RGB 0.2 1.8 0.32 16.0 1.96 0.51 (10)
RGB 0.2 1.8 0.32 17.0 1.85 0.49 (10)
RGB 0.2 1.8 0.313 15.0 2.09 0.37 (10)
RGB 0.2 1.8 0.313 16.0 1.96 0.44 (10)
RGB 0.25 2.0 0.37 53.0 1.0 3.0 (11)
RGB 0.5 2.0 0.37 53.0 1.0 6.6 (11)
RGB 0.75 2.0 0.37 53.0 1.0 11.0 (11)
RGB 1.0 2.0 0.37 53.0 1.0 16.7 (11)
RGB 0.25 2.0 0.37 53.0 1.0 3.0 (11)
RGB 0.5 2.0 0.37 53.0 1.0 6.6 (11)
RGB 0.75 2.0 0.37 53.0 1.0 11.0 (11)
RGB 1.0 2.0 0.37 53.0 1.0 16.7 (11)
RGB 0.5 2.0 0.37 53.0 1.0 3.5 (11)
RGB 0.05 1.0 0.38 78.0 1.0 2.8 (11)
RGB 0.3 1.0 0.38 78.0 1.0 7.6 (11)
RGB 0.6 1.0 0.38 78.0 1.0 14.4 (11)
RGB 0.9 1.0 0.38 78.0 1.0 22.6 (11)
SG 0.15 9.4 2.97 395.0 1.21 15.12 (12)
SG 0.53 9.4 2.97 395.0 1.27 47.48 (12)
SG 0.25 12.0 3.84 619.0 1.42 33.1 (13)
SG 0.25 12.0 3.84 619.0 1.42 30.2 (13)
SG 0.25 12.0 3.84 619.0 1.42 34.3 (13)
SG 0.25 12.0 3.84 619.0 1.42 37.6 (13)
SG 0.25 12.0 3.84 619.0 1.42 38.5 (13)
SG 0.25 12.0 3.84 619.0 1.42 36.0 (13)
SG 0.25 12.0 3.84 619.0 1.42 40.9 (13)
SG 0.25 12.0 3.84 619.0 1.42 41.0 (13)
SG 0.25 12.0 3.84 619.0 1.42 44.3 (13)
SG 0.11 12.0 3.84 619.0 1.24 22.8 (13)
SG 0.15 9.4 2.97 395.0 1.21 14.0 (14)
SG 0.53 9.4 2.97 395.0 1.27 37.0 (14)
SG 0.08 17.84 10.26 500.0 1.68 50.0 (15)
SG 0.08 17.84 9.68 500.0 1.68 24.0 (15)
SG 0.53 9.4 2.97 395.0 1.27 46.0 (16)
SG 0.25 12.0 3.84 619.0 1.42 44.8 (17)
SG 0.25 12.0 3.84 619.0 1.42 44.7 (17)
SG 0.25 12.0 3.84 619.0 1.42 38.6 (17)
SG 0.25 12.0 3.84 619.0 1.42 37.2 (17)
SG 0.25 12.0 3.84 619.0 1.42 39.4 (18)
SG 0.25 12.0 3.84 619.0 1.42 42.1 (18)
