time orb_separation a
  10.00000   75.82917 -564.07979
  20.00000   72.96106 -415.52772
  30.00000   68.52659 -193.21801
  40.00000   66.20938 -140.24738
  50.00000   66.96555 -283.51511
  60.00000   65.35185  449.28382
  70.00000   55.02785 -11981.26987
  80.00000   37.85961 -293.98553
  90.00000   38.35351  167.29912
 100.00000   31.81009   82.55884
 110.00000   24.11568   38.44911
 120.00000   19.03365   34.15822
 130.00000   16.50535   27.55779
 140.00000   14.51739   20.32959
 150.00000   12.55840   14.79762
 160.00000   11.00457   12.58061
 170.00000    9.27982   10.51762
 180.00000    7.86695    8.88959
 190.00000    6.63332    7.38044
 200.00000    5.40306    5.83006
 210.00000    4.47434    4.65041
 220.00000    3.98670    4.16531
 230.00000    3.68699    3.71087
 240.00000    3.51798    3.56417
 250.00000    3.51851    3.49790
 260.00000    3.50263    3.46920
 270.00000    3.42041    3.43544
 280.00000    3.37475    3.41772
 290.00000    3.34923    3.39472
 300.00000    3.34187    3.37838
 310.00000    3.34575    3.35861
 320.00000    3.37799    3.34662
 330.00000    3.36237    3.33142
 340.00000    3.27245    3.31561
 350.00000    3.31512    3.29987
 360.00000    3.29670    3.28571
 370.00000    3.26269    3.27415
 380.00000    3.26548    3.26117
 390.00000    3.27664    3.24856
 400.00000    3.19361    3.23863
 410.00000    3.23733    3.22679
 420.00000    3.26576    3.21579
 430.00000    3.20630    3.20527
 440.00000    3.15543    3.18992
 450.00000    3.14013    3.18026
 460.00000    3.12884    3.17234
 470.00000    3.11362    3.15729
 480.00000    3.10704    3.14109
 490.00000    3.13519    3.11801
 500.00000    3.14620    3.10739
 510.00000    3.05364    3.08892
 520.00000    3.10037    3.07233
 530.00000    3.01804    3.05000
 540.00000    3.05296    3.02805
 550.00000    3.02850    3.00895
 560.00000    2.98086    2.99305
 570.00000    2.95297    2.98209
 580.00000    2.94031    2.97280
 590.00000    2.93366    2.96390
 600.00000    2.93553    2.95768
 610.00000    2.95074    2.94961
 620.00000    2.97193    2.94198
 630.00000    2.96536    2.93543
 640.00000    2.91565    2.93056
 650.00000    2.89231    2.92542
 660.00000    2.94270    2.91969
 670.00000    2.93983    2.91482
 680.00000    2.87859    2.90937
 690.00000    2.92934    2.90488
 700.00000    2.89449    2.89952
 710.00000    2.89042    2.89597
 720.00000    2.91203    2.89112
 730.00000    2.86628    2.88801
 740.00000    2.90816    2.88293
 750.00000    2.86622    2.88037
 760.00000    2.88337    2.87551
 770.00000    2.88389    2.87205
 780.00000    2.84306    2.86657
 790.00000    2.90110    2.86477
 800.00000    2.84161    2.86342
