time orb_separation a
  10.00000   43.65388 -133.18812
  20.00000   21.06268   34.19595
  30.00000    9.97684   11.68800
  40.00000    5.48954    6.23538
  50.00000    4.28271    4.29982
  60.00000    3.62084    3.56313
  70.00000    3.12439    3.23829
  80.00000    3.24157    3.06744
  90.00000    2.71849    2.93001
 100.00000    3.04436    2.82657
 110.00000    2.67190    2.75097
 120.00000    2.79996    2.70608
 130.00000    2.51254    2.68046
 140.00000    2.82795    2.65228
 150.00000    2.51946    2.63127
 160.00000    2.44118    2.61419
 170.00000    2.51346    2.60117
 180.00000    2.74520    2.58664
 190.00000    2.60319    2.57711
 200.00000    2.62691    2.55597
 210.00000    2.36963    2.54390
 220.00000    2.48090    2.53858
 230.00000    2.59916    2.53183
 240.00000    2.62097    2.52491
 250.00000    2.58042    2.51893
 260.00000    2.47231    2.51362
 270.00000    2.35996    2.50906
 280.00000    2.41806    2.50781
 290.00000    2.60676    2.50278
 300.00000    2.58098    2.49677
 310.00000    2.35843    2.49150
 320.00000    2.61338    2.48764
 330.00000    2.38348    2.48271
 340.00000    2.59141    2.47860
 350.00000    2.35448    2.47408
 360.00000    2.56805    2.47059
 370.00000    2.49091    2.46625
 380.00000    2.35316    2.46268
 390.00000    2.47802    2.46010
 400.00000    2.56533    2.45721
 410.00000    2.51212    2.45446
 420.00000    2.41581    2.45182
 430.00000    2.36130    2.44906
 440.00000    2.35816    2.44652
 450.00000    2.37500    2.44394
 460.00000    2.38971    2.44187
 470.00000    2.39569    2.43959
 480.00000    2.39120    2.43771
 490.00000    2.37865    2.43501
 500.00000    2.36305    2.43249
 510.00000    2.36380    2.43020
 520.00000    2.39616    2.42803
 530.00000    2.45086    2.42672
 540.00000    2.48762    2.42523
 550.00000    2.47261    2.42389
 560.00000    2.41413    2.42268
 570.00000    2.36975    2.42139
 580.00000    2.39344    2.42054
 590.00000    2.44981    2.41960
 600.00000    2.46631    2.41882
 610.00000    2.42378    2.41776
 620.00000    2.38140    2.41725
 630.00000    2.39279    2.41668
 640.00000    2.43466    2.41614
 650.00000    2.45112    2.41574
 660.00000    2.42719    2.41425
 670.00000    2.39355    2.41373
 680.00000    2.39186    2.41325
 690.00000    2.41992    2.41255
 700.00000    2.43708    2.41232
 710.00000    2.41838    2.41217
 720.00000    2.39325    2.41160
 730.00000    2.42246    2.41103
 740.00000    2.40807    2.41070
 750.00000    2.41516    2.41034
 760.00000    2.40985    2.41030
 770.00000    2.41335    2.41017
 780.00000    2.41068    2.40980
 790.00000    2.41244    2.40974
 800.00000    2.41076    2.40968
